instance,divisor,cost
5/prob5d/c/density_0.75.json,8,3587
5/prob5d/c/density_0.75.json,10,3587
5/prob5d/c/density_0.json,2,3556
5/prob5d/c/density_0.json,4,3556
5/prob5d/c/density_0.json,6,3556
5/prob5d/c/density_0.json,8,3556
5/prob5d/c/density_0.json,10,3556
5/prob5d/d/density_0.1.json,2,3556
5/prob5d/d/density_0.1.json,4,3556
5/prob5d/d/density_0.1.json,6,3556
5/prob5d/d/density_0.1.json,8,3556
5/prob5d/d/density_0.1.json,10,3556
5/prob5d/d/density_0.5.json,2,3128
5/prob5d/d/density_0.5.json,4,3128
5/prob5d/d/density_0.5.json,6,3128
5/prob5d/d/density_0.5.json,8,3128
5/prob5d/d/density_0.5.json,10,3128
5/prob5d/d/density_0.25.json,2,3748
5/prob5d/d/density_0.25.json,4,3748
5/prob5d/d/density_0.25.json,6,3748
5/prob5d/d/density_0.25.json,8,3748
5/prob5d/d/density_0.25.json,10,3748
5/prob5d/d/density_0.75.json,2,3846
5/prob5d/d/density_0.75.json,4,3846
5/prob5d/d/density_0.75.json,6,3846
5/prob5d/d/density_0.75.json,8,3846
5/prob5d/d/density_0.75.json,10,3846
5/prob5d/d/density_0.json,2,3556
5/prob5d/d/density_0.json,4,3556
5/prob5d/d/density_0.json,6,3556
5/prob5d/d/density_0.json,8,3556
5/prob5d/d/density_0.json,10,3556
5/prob5d/e/density_0.1.json,2,3128
5/prob5d/e/density_0.1.json,4,3128
5/prob5d/e/density_0.1.json,6,3128
5/prob5d/e/density_0.1.json,8,3128
5/prob5d/e/density_0.1.json,10,3128
5/prob5d/e/density_0.5.json,2,3846
5/prob5d/e/density_0.5.json,4,3846
5/prob5d/e/density_0.5.json,6,3846
5/prob5d/e/density_0.5.json,8,3846
5/prob5d/e/density_0.5.json,10,3846
5/prob5d/e/density_0.25.json,2,3209
5/prob5d/e/density_0.25.json,4,3209
5/prob5d/e/density_0.25.json,6,3846
5/prob5d/e/density_0.25.json,8,3846
5/prob5d/e/density_0.25.json,10,3846
5/prob5d/e/density_0.75.json,2,3846
5/prob5d/e/density_0.75.json,4,3846
5/prob5d/e/density_0.75.json,6,3846
5/prob5d/e/density_0.75.json,8,3846
5/prob5d/e/density_0.75.json,10,3846
5/prob5d/e/density_0.json,2,3556
5/prob5d/e/density_0.json,4,3556
5/prob5d/e/density_0.json,6,3556
5/prob5d/e/density_0.json,8,3556
5/prob5d/e/density_0.json,10,3556
5/prob5e/a/density_0.1.json,2,3823
5/prob5e/a/density_0.1.json,4,3823
5/prob5e/a/density_0.1.json,6,3823
5/prob5e/a/density_0.1.json,8,3823
5/prob5e/a/density_0.1.json,10,3823
5/prob5e/a/density_0.5.json,2,3250
5/prob5e/a/density_0.5.json,4,3250
5/prob5e/a/density_0.5.json,6,3250
5/prob5e/a/density_0.5.json,8,3250
5/prob5e/a/density_0.5.json,10,3250
5/prob5e/a/density_0.25.json,2,3173
5/prob5e/a/density_0.25.json,4,3173
5/prob5e/a/density_0.25.json,6,3173
5/prob5e/a/density_0.25.json,8,3173
5/prob5e/a/density_0.25.json,10,3173
5/prob5e/a/density_0.75.json,2,3250
5/prob5e/a/density_0.75.json,4,3250
5/prob5e/a/density_0.75.json,6,3250
5/prob5e/a/density_0.75.json,8,3250
5/prob5e/a/density_0.75.json,10,3250
5/prob5e/a/density_0.json,2,3123
5/prob5e/a/density_0.json,4,3123
5/prob5e/a/density_0.json,6,3123
5/prob5e/a/density_0.json,8,3341
5/prob5e/a/density_0.json,10,3341
5/prob5e/b/density_0.1.json,2,3823
5/prob5e/b/density_0.1.json,4,3823
5/prob5e/b/density_0.1.json,6,3823
5/prob5e/b/density_0.1.json,8,3823
5/prob5e/b/density_0.1.json,10,3823
5/prob5e/b/density_0.5.json,2,4160
5/prob5e/b/density_0.5.json,4,4160
5/prob5e/b/density_0.5.json,6,4160
5/prob5e/b/density_0.5.json,8,4160
5/prob5e/b/density_0.5.json,10,4160
5/prob5e/b/density_0.25.json,2,4160
5/prob5e/b/density_0.25.json,4,4160
5/prob5e/b/density_0.25.json,6,4160
5/prob5e/b/density_0.25.json,8,4160
5/prob5e/b/density_0.25.json,10,4160
5/prob5e/b/density_0.75.json,2,4160
5/prob5e/b/density_0.75.json,4,4160
5/prob5e/b/density_0.75.json,6,4160
5/prob5e/b/density_0.75.json,8,4160
5/prob5e/b/density_0.75.json,10,4160
5/prob5e/b/density_0.json,2,3123
5/prob5e/b/density_0.json,4,3123
5/prob5e/b/density_0.json,6,3123
5/prob5e/b/density_0.json,8,3341
5/prob5e/b/density_0.json,10,3341
5/prob5e/c/density_0.1.json,2,3123
5/prob5e/c/density_0.1.json,4,3123
5/prob5e/c/density_0.1.json,6,3123
5/prob5e/c/density_0.1.json,8,3341
5/prob5e/c/density_0.1.json,10,3341
5/prob5e/c/density_0.5.json,2,3823
5/prob5e/c/density_0.5.json,4,3823
5/prob5e/c/density_0.5.json,6,3823
5/prob5e/c/density_0.5.json,8,3936
5/prob5e/c/density_0.5.json,10,3936
5/prob5e/c/density_0.25.json,2,3123
5/prob5e/c/density_0.25.json,4,3123
5/prob5e/c/density_0.25.json,6,3123
5/prob5e/c/density_0.25.json,8,3341
5/prob5e/c/density_0.25.json,10,3341
5/prob5e/c/density_0.75.json,2,3531
5/prob5e/c/density_0.75.json,4,3531
5/prob5e/c/density_0.75.json,6,3531
5/prob5e/c/density_0.75.json,8,4174
5/prob5e/c/density_0.75.json,10,4174
5/prob5e/c/density_0.json,2,3123
5/prob5e/c/density_0.json,4,3123
5/prob5e/c/density_0.json,6,3123
5/prob5e/c/density_0.json,8,3341
5/prob5e/c/density_0.json,10,3341
5/prob5e/d/density_0.1.json,2,3823
5/prob5e/d/density_0.1.json,4,3823
5/prob5e/d/density_0.1.json,6,3823
5/prob5e/d/density_0.1.json,8,3936
5/prob5e/d/density_0.1.json,10,3936
5/prob5e/d/density_0.5.json,2,4095
5/prob5e/d/density_0.5.json,4,4095
5/prob5e/d/density_0.5.json,6,4095
5/prob5e/d/density_0.5.json,8,4095
5/prob5e/d/density_0.5.json,10,4095
5/prob5e/d/density_0.25.json,2,4095
5/prob5e/d/density_0.25.json,4,4095
5/prob5e/d/density_0.25.json,6,4095
5/prob5e/d/density_0.25.json,8,4095
5/prob5e/d/density_0.25.json,10,4095
5/prob5e/d/density_0.75.json,2,3508
5/prob5e/d/density_0.75.json,4,3508
5/prob5e/d/density_0.75.json,6,3508
5/prob5e/d/density_0.75.json,8,3508
5/prob5e/d/density_0.75.json,10,3508
5/prob5e/d/density_0.json,2,3123
5/prob5e/d/density_0.json,4,3123
5/prob5e/d/density_0.json,6,3123
5/prob5e/d/density_0.json,8,3341
5/prob5e/d/density_0.json,10,3341
5/prob5e/e/density_0.1.json,2,3123
5/prob5e/e/density_0.1.json,4,3123
5/prob5e/e/density_0.1.json,6,3123
5/prob5e/e/density_0.1.json,8,3341
5/prob5e/e/density_0.1.json,10,3341
5/prob5e/e/density_0.5.json,2,3418
5/prob5e/e/density_0.5.json,4,3418
5/prob5e/e/density_0.5.json,6,3418
5/prob5e/e/density_0.5.json,8,3418
5/prob5e/e/density_0.5.json,10,3418
5/prob5e/e/density_0.25.json,2,3418
5/prob5e/e/density_0.25.json,4,3418
5/prob5e/e/density_0.25.json,6,3418
5/prob5e/e/density_0.25.json,8,3418
5/prob5e/e/density_0.25.json,10,3418
5/prob5e/e/density_0.75.json,2,3663
5/prob5e/e/density_0.75.json,4,3663
5/prob5e/e/density_0.75.json,6,3663
5/prob5e/e/density_0.75.json,8,3663
5/prob5e/e/density_0.75.json,10,3663
5/prob5e/e/density_0.json,2,3123
5/prob5e/e/density_0.json,4,3123
5/prob5e/e/density_0.json,6,3123
5/prob5e/e/density_0.json,8,3341
5/prob5e/e/density_0.json,10,3341
10/prob10a/a/density_0.1.json,2,7170
10/prob10a/a/density_0.1.json,4,6237
