Instancia,%Inc,Numero iteracion,Costo de iteracion
/10/prob10c/c,0,2,9253
/10/prob10c/c,0,3,9215
/10/prob10c/c,0,4,9172
/10/prob10c/d,0.1,0,12247
/10/prob10c/d,0.1,1,9563
/10/prob10c/d,0.1,2,9253
/10/prob10c/d,0.1,3,9215
/10/prob10c/d,0.1,4,9172
/10/prob10c/d,0.5,0,12247
/10/prob10c/d,0.5,1,9563
/10/prob10c/d,0.5,2,9253
/10/prob10c/d,0.5,3,9215
/10/prob10c/d,0.5,4,9172
/10/prob10c/d,0.25,0,12247
/10/prob10c/d,0.25,1,9563
/10/prob10c/d,0.25,2,9253
/10/prob10c/d,0.25,3,9215
/10/prob10c/d,0.25,4,9172
/10/prob10c/d,0.75,0,12247
/10/prob10c/d,0.75,1,9563
/10/prob10c/d,0.75,2,9253
/10/prob10c/d,0.75,3,9215
/10/prob10c/d,0.75,4,9172
/10/prob10c/d,0,0,12247
/10/prob10c/d,0,1,9563
/10/prob10c/d,0,2,9253
/10/prob10c/d,0,3,9215
/10/prob10c/d,0,4,9172
/10/prob10c/e,0.1,0,12247
/10/prob10c/e,0.1,1,9563
/10/prob10c/e,0.1,2,9253
/10/prob10c/e,0.1,3,9215
/10/prob10c/e,0.1,4,9172
/10/prob10c/e,0.5,0,12247
/10/prob10c/e,0.5,1,9563
/10/prob10c/e,0.5,2,9253
/10/prob10c/e,0.5,3,9215
/10/prob10c/e,0.5,4,9172
/10/prob10c/e,0.25,0,12247
/10/prob10c/e,0.25,1,9563
/10/prob10c/e,0.25,2,9253
/10/prob10c/e,0.25,3,9215
/10/prob10c/e,0.25,4,9172
/10/prob10c/e,0.75,0,12247
/10/prob10c/e,0.75,1,9563
/10/prob10c/e,0.75,2,9253
/10/prob10c/e,0.75,3,9215
/10/prob10c/e,0.75,4,9172
/10/prob10c/e,0,0,12247
